book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,cleaned_authors,cleaned_title,top_5_tags
123,5358,5358,38270,11,0582418275,9780582418270,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",eng,3.99,488269,488355,3139,5075,20119,111543,190966,160652,https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg,john grisham,the firm penguin readers level 5,"to-read, fiction, thriller, mystery, currently-reading"
124,7937843,7937843,9585076,151,0316098337,9780316098340,Emma Donoghue,2010,Room,Room,eng,4.03,511360,556327,42254,11020,26079,99831,217995,201402,https://images.gr-assets.com/books/1344265419m/7937843.jpg,https://images.gr-assets.com/books/1344265419s/7937843.jpg,emma donoghue,room,"to-read, currently-reading, fiction, favorites, book-club"
125,1420,1420,1885548,1929,0521618746,9780521618750,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4.0,515820,576894,8889,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg,william shakespeare richard andrews rex gibson,hamlet,"to-read, currently-reading, classics, plays, favorites"
126,234225,234225,3634639,241,0340839937,9780340839940,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),eng,4.19,485032,525976,13239,13354,22778,74206,154771,260867,https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg,frank herbert,dune dune chronicles 1,"to-read, currently-reading, science-fiction, sci-fi, favorites"
127,2612,2612,2124255,100,0316346624,9780316346630,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,490504,499066,10895,15111,25871,106453,189120,162511,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg,malcolm gladwell,the tipping point how little things can make a big difference,"to-read, currently-reading, non-fiction, nonfiction, business"
128,11084145,11084145,16005831,190,1451648537,9781451648540,Walter Isaacson,2011,Steve Jobs,Steve Jobs,eng,4.09,560715,579256,15198,19680,21986,88456,203975,245159,https://images.gr-assets.com/books/1327861368m/11084145.jpg,https://images.gr-assets.com/books/1327861368s/11084145.jpg,walter isaacson,steve jobs,"to-read, biography, non-fiction, currently-reading, favorites"
129,332613,332613,2100252,275,0451163966,9780451163970,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,eng,4.18,491642,514458,7855,5672,15978,78714,191622,222472,https://images.gr-assets.com/books/1485308778m/332613.jpg,https://images.gr-assets.com/books/1485308778s/332613.jpg,ken kesey,one flew over the cuckoos nest,"to-read, classics, currently-reading, fiction, favorites"
130,2165,2165,69741,666,0684830493,9780684830490,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,eng,3.73,520630,574328,16716,28645,52583,136217,186747,170136,https://images.gr-assets.com/books/1329189714m/2165.jpg,https://images.gr-assets.com/books/1329189714s/2165.jpg,ernest hemingway,the old man and the sea,"classics, fiction, currently-reading, favorites, classic"
131,4395,18114322,2931549,381,0142000663,9780142000660,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,eng,3.92,322321,553352,12991,23552,40261,103475,173589,212475,https://images.gr-assets.com/books/1352912927m/4395.jpg,https://images.gr-assets.com/books/1352912927s/4395.jpg,john steinbeck,the grapes of wrath,"to-read, classics, fiction, favorites, classic"
132,3431,3431,2561472,123,1401308589,9781401308580,Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,-,3.9,449501,474699,16682,12360,33669,107800,155830,165040,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,mitch albom,the five people you meet in heaven,"to-read, currently-reading, spiritual, fiction, favorites"
133,8127,8127,3464264,1314,0451528824,9780451528830,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041,8864,19531,80256,158725,265976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,lm montgomery,anne of green gables anne of green gables 1,"favorites, currently-reading, fiction, young-adult, classic"
134,3777732,3777732,3443248,122,1416914307,9781416914300,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",en-US,4.34,593173,630560,22736,6646,17351,79202,179290,348071,https://images.gr-assets.com/books/1369452339m/3777732.jpg,https://images.gr-assets.com/books/1369452339s/3777732.jpg,cassandra clare,city of glass the mortal instruments 3,"fantasy, currently-reading, young-adult, to-read, ya"
135,62291,62291,1164465,175,055357342X,9780553573430,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,4.54,469022,527644,19497,1456,4820,36418,149268,335682,https://images.gr-assets.com/books/1497931121m/62291.jpg,https://images.gr-assets.com/books/1497931121s/62291.jpg,george rr martin,a storm of swords a song of ice and fire 3,"to-read, fantasy, currently-reading, favorites, fiction"
136,137791,137791,1010054,75,006075995X,9780060759960,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,465676,470508,3867,15795,35314,120396,158451,140552,https://images.gr-assets.com/books/1408313524m/137791.jpg,https://images.gr-assets.com/books/1408313524s/137791.jpg,rebecca wells,divine secrets of the yaya sisterhood,"fiction, chick-lit, favorites, to-read, currently-reading"
137,10964,10964,2489796,189,0440242940,9780440242950,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",eng,4.2,515547,578842,36707,20998,27673,73126,147085,309960,https://images.gr-assets.com/books/1402600310m/10964.jpg,https://images.gr-assets.com/books/1402600310s/10964.jpg,diana gabaldon,outlander outlander 1,"to-read, historical-fiction, favorites, romance, fantasy"
138,12296,12296,4925227,1579,0142437263,9780142437260,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,eng,3.37,509883,559246,11428,34813,80444,182701,165079,96209,https://images.gr-assets.com/books/1404810944m/12296.jpg,https://images.gr-assets.com/books/1404810944s/12296.jpg,nathaniel hawthorne thomas e connolly nina baym,the scarlet letter,"school, books-i-own, literature, owned, read-for-school"
139,9460487,9460487,14345371,155,1594744769,9781594744760,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,3.89,613674,672222,53569,14920,45434,159227,234792,217849,https://images.gr-assets.com/books/1472782916m/9460487.jpg,https://images.gr-assets.com/books/1472782916s/9460487.jpg,ransom riggs,miss peregrines home for peculiar children miss peregrines peculiar children 1,"fantasy, young-adult, to-read, favorites, fiction"
140,6892870,6892870,12883496,193,030726999X,9780307270000,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,4.2,443951,526791,26766,3823,14773,78387,203297,226511,https://images.gr-assets.com/books/1327708260m/6892870.jpg,https://images.gr-assets.com/books/1327708260s/6892870.jpg,stieg larsson reg keeland,the girl who kicked the hornets nest millennium 3,"to-read, currently-reading, fiction, mystery, favorites"
141,18007564,18007564,21825181,148,0804139024,9780804139020,Andy Weir,2012,The Martian,The Martian,eng,4.39,423344,529702,61298,4114,10856,49200,173861,291671,https://images.gr-assets.com/books/1413706054m/18007564.jpg,https://images.gr-assets.com/books/1413706054s/18007564.jpg,andy weir,the martian,"sci-fi, to-read, book-club, read-in-2015, owned"
142,5043,5043,3359698,255,0451207149,9780451207140,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,4.29,462517,495893,26283,9248,16886,57825,148052,263882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,ken follett,the pillars of the earth the kingsbridge series 1,"historical-fiction, to-read, favorites, fiction, historical"
143,18143977,18143977,25491300,139,1476746583,9781476746590,Anthony Doerr,2014,-,All the Light We Cannot See,eng,4.31,470001,547827,53413,6209,14527,61020,185239,280832,https://images.gr-assets.com/books/1451445646m/18143977.jpg,https://images.gr-assets.com/books/1451445646s/18143977.jpg,anthony doerr,all the light we cannot see,"to-read, currently-reading, historical-fiction, favorites, fiction"
144,8664353,8664353,12946965,16,1400064163,9781400064170,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,487775,528552,41572,10308,12874,47828,144203,313339,https://images.gr-assets.com/books/1327861115m/8664353.jpg,https://images.gr-assets.com/books/1327861115s/8664353.jpg,laura hillenbrand,unbroken a world war ii story of survival resilience and redemption,"to-read, currently-reading, non-fiction, favorites, history"
145,976,976,3135896,180,0671027387,9780671027380,Dan Brown,2001,Deception Point,Deception Point,eng,3.67,455610,479733,7798,14380,45006,143182,160819,116346,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,dan brown,deception point,"to-read, fiction, thriller, mystery, dan-brown"
146,17333223,17333223,24065147,108,0316055433,9780316055440,Donna Tartt,2013,The Goldfinch,The Goldfinch,eng,3.87,396756,463847,44631,19164,35300,93459,153459,162465,https://images.gr-assets.com/books/1451554970m/17333223.jpg,https://images.gr-assets.com/books/1451554970s/17333223.jpg,donna tartt,the goldfinch,"to-read, currently-reading, fiction, favorites, book-club"
147,1217100,29844228,2588213,150,1595141715,9781595141710,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,eng,4.02,463783,571281,43467,15246,35668,105414,179197,235756,https://images.gr-assets.com/books/1333822506m/1217100.jpg,https://images.gr-assets.com/books/1333822506s/1217100.jpg,jay asher,thirteen reasons why,"favorites, ya, books-i-own, realistic-fiction, owned"
148,2865,2865,3358875,169,0452287022,9780452287020,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,eng,3.85,467577,492177,8011,11525,28287,123463,189656,139246,https://images.gr-assets.com/books/1327197580m/2865.jpg,https://images.gr-assets.com/books/1327197580s/2865.jpg,tracy chevalier,girl with a pearl earring,"to-read, historical-fiction, fiction, favorites, historical"
149,4374400,4374400,4422413,130,0525421033,9780525421030,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",en-US,3.96,503527,567087,34959,12666,34896,122977,190793,205755,https://images.gr-assets.com/books/1347462970m/4374400.jpg,https://images.gr-assets.com/books/1347462970s/4374400.jpg,gayle forman,if i stay if i stay 1,"to-read, currently-reading, young-adult, favorites, ya"
150,4989,4989,1041558,80,0312353766,9780312353770,Anita Diamant,1997,The Red Tent,The Red Tent,en-US,4.16,424981,449217,17234,9470,19616,67878,146178,206075,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,anita diamant,the red tent,"to-read, owned, historical-fiction, history, currently-reading"
151,28186,28186,43554,121,0786856866,9780786856860,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097,2967,13884,91127,188988,253546,https://images.gr-assets.com/books/1400602661m/28186.jpg,https://images.gr-assets.com/books/1400602661s/28186.jpg,rick riordan,the sea of monsters percy jackson and the olympians 2,"to-read, fantasy, favorites, currently-reading, young-adult"
152,5526,5526,3222389,111,0446528056,9780446528050,Nicholas Sparks,2006,Dear John,Dear John,en-US,4.01,441062,454781,10626,9683,25220,94711,145202,179965,https://images.gr-assets.com/books/1397749854m/5526.jpg,https://images.gr-assets.com/books/1397749854s/5526.jpg,nicholas sparks,dear john,"to-read, currently-reading, romance, nicholas-sparks, favorites"
153,1582996,1582996,1575860,125,1416914293,9781416914300,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",eng,4.21,541117,586008,23643,6135,20075,92626,192934,274238,https://images.gr-assets.com/books/1432730356m/1582996.jpg,https://images.gr-assets.com/books/1432730356s/1582996.jpg,cassandra clare,city of ashes the mortal instruments 2,"to-read, favorites, currently-reading, fantasy, young-adult"
154,8852,8852,1896522,1732,0743477103,9780743477110,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,eng,3.88,496018,524826,7609,10551,35408,127354,183871,167642,https://images.gr-assets.com/books/1459795224m/8852.jpg,https://images.gr-assets.com/books/1459795224s/8852.jpg,william shakespeare,macbeth,"currently-reading, plays, favorites, to-read, fiction"
155,15241,15241,2963845,453,0618346260,9780618346260,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,532209,6980,3013,10264,55433,156232,307267,https://images.gr-assets.com/books/1298415523m/15241.jpg,https://images.gr-assets.com/books/1298415523s/15241.jpg,jrr tolkien,the two towers the lord of the rings 2,"to-read, fantasy, favorites, currently-reading, classics"
156,42156,42156,1789440,65,031232118X,9780312321180,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",eng,3.83,403601,435189,11567,16019,29297,104322,148507,137044,https://images.gr-assets.com/books/1305063535m/42156.jpg,https://images.gr-assets.com/books/1305063535s/42156.jpg,emily giffin,something borrowed darcy  rachel 1,"to-read, chick-lit, romance, favorites, currently-reading"
157,23772,23772,86934,72,0394800168,9780394800160,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham,en-US,4.29,457475,461041,7370,6605,14530,66873,121751,251282,https://images.gr-assets.com/books/1468680100m/23772.jpg,https://images.gr-assets.com/books/1468680100s/23772.jpg,dr seuss  ,green eggs and ham,"childrens, to-read, children, children-s-books, picture-books"
158,6310,6310,2765786,338,0142403881,9780142403880,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,8473,6236,17193,94240,178216,198862,https://images.gr-assets.com/books/1309211401m/6310.jpg,https://images.gr-assets.com/books/1309211401s/6310.jpg,roald dahl quentin blake,charlie and the chocolate factory charlie bucket 1,"fiction, children, favorites, childhood, to-read"
159,2120932,2120932,2377629,92,1423101464,9781423101470,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,537708,14098,2435,8093,62108,172289,292783,https://images.gr-assets.com/books/1443142158m/2120932.jpg,https://images.gr-assets.com/books/1443142158s/2120932.jpg,rick riordan,the battle of the labyrinth percy jackson and the olympians 4,"to-read, fantasy, favorites, young-adult, currently-reading"
160,2623,2623,2612809,1725,0192833596,9780192833590,Charles Dickens,1860,Great Expectations,Great Expectations,eng,3.75,459247,507187,12311,22811,44293,120385,170702,148996,https://images.gr-assets.com/books/1327920219m/2623.jpg,https://images.gr-assets.com/books/1327920219s/2623.jpg,charles dickens,great expectations,"to-read, currently-reading, classics, fiction, favorites"
161,18512,18512,2964424,470,0345339738,9780345339740,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,510537,6644,2691,8008,42693,132149,324996,https://images.gr-assets.com/books/1389977161m/18512.jpg,https://images.gr-assets.com/books/1389977161s/18512.jpg,jrr tolkien,the return of the king the lord of the rings 3,"to-read, fantasy, favorites, fiction, classics"
162,49552,49552,3324344,675,-,-,"Albert Camus, Matthew    Ward",1942,L’Étranger,The Stranger,eng,3.96,420600,483623,14836,10563,28920,100140,174957,169043,https://images.gr-assets.com/books/1349927872m/49552.jpg,https://images.gr-assets.com/books/1349927872s/49552.jpg,albert camus matthew    ward,the stranger,"classics, fiction, favorites, philosophy, to-read"
163,7736182,7736182,10107891,72,142311339X,9781423113390,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,489495,17107,5020,11267,58590,148498,266120,https://images.gr-assets.com/books/1464201003m/7736182.jpg,https://images.gr-assets.com/books/1464201003s/7736182.jpg,rick riordan,the lost hero the heroes of olympus 1,"to-read, fantasy, favorites, currently-reading, young-adult"
164,15745753,15745753,17225055,103,1250012570,9781250012580,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,eng,4.11,514312,579753,53005,12904,26371,94470,196224,249784,https://images.gr-assets.com/books/1341952742m/15745753.jpg,https://images.gr-assets.com/books/1341952742s/15745753.jpg,rainbow rowell,eleanor  park,"to-read, currently-reading, favorites, young-adult, ya"
165,13497,13497,1019062,176,055358202X,9780553582020,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,4.1,428186,481130,18876,3170,18574,94401,175973,189012,https://images.gr-assets.com/books/1429538615m/13497.jpg,https://images.gr-assets.com/books/1429538615s/13497.jpg,george rr martin,a feast for crows a song of ice and fire 4,"fantasy, fiction, favorites, owned, books-i-own"
166,7735333,7735333,9631645,84,0525423648,9780525423640,Ally Condie,2010,Matched,"Matched (Matched, #1)",eng,3.68,511815,530680,30226,24343,53804,138030,165412,149091,https://images.gr-assets.com/books/1367706191m/7735333.jpg,https://images.gr-assets.com/books/1367706191s/7735333.jpg,ally condie,matched matched 1,"to-read, currently-reading, young-adult, dystopian, dystopia"
167,4407,30165203,1970226,196,0747263744,9780747263750,Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)",eng,4.11,378019,518343,27587,9888,24944,83253,178346,221912,https://images.gr-assets.com/books/1258417001m/4407.jpg,https://images.gr-assets.com/books/1258417001s/4407.jpg,neil gaiman,american gods american gods 1,"fantasy, favorites, to-read, fiction, urban-fantasy"
168,149267,149267,1742269,195,0385199570,9780385199580,"Stephen King, Bernie Wrightson",1978,The Stand,The Stand,en-US,4.34,438832,469953,13808,5647,13612,56722,134098,259874,https://images.gr-assets.com/books/1213131305m/149267.jpg,https://images.gr-assets.com/books/1213131305s/149267.jpg,stephen king bernie wrightson,the stand,"to-read, currently-reading, horror, favorites, fiction"
169,6400090,6400090,6588800,95,0446547565,9780446547570,Nicholas Sparks,2008,The Last Song,The Last Song,en-GB,4.14,424637,438429,11051,7253,17803,77712,140241,195420,https://images.gr-assets.com/books/1286549186m/6400090.jpg,https://images.gr-assets.com/books/1286549186s/6400090.jpg,nicholas sparks,the last song,"to-read, currently-reading, favorites, romance, nicholas-sparks"
170,11125,11125,40195,185,0552151696,9780552151700,Dan Brown,1998,Digital Fortress,Digital Fortress,en-GB,3.6,423019,447503,7538,16592,47507,136196,144029,103179,https://images.gr-assets.com/books/1360095966m/11125.jpg,https://images.gr-assets.com/books/1360095966s/11125.jpg,dan brown,digital fortress,"to-read, fiction, thriller, mystery, dan-brown"
171,6969,6969,3360164,1710,0141439580,9780141439590,"Jane Austen, Fiona Stafford",1815,Emma,Emma,eng,3.99,459826,497949,11724,11386,25777,102144,178238,180404,https://images.gr-assets.com/books/1373627931m/6969.jpg,https://images.gr-assets.com/books/1373627931s/6969.jpg,jane austen fiona stafford,emma,"currently-reading, classics, to-read, fiction, favorites"
172,15823480,15823480,2507928,1492,0345803922,9780345803920,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,Anna Karenina,eng,4.02,297472,472796,18064,11738,26945,88365,158179,187569,https://images.gr-assets.com/books/1352422904m/15823480.jpg,https://images.gr-assets.com/books/1352422904s/15823480.jpg,leo tolstoy louise maude leo tolstoj aylmer maude,anna karenina,"classics, to-read, fiction, favorites, classic"
173,227463,227463,23596,283,0393312836,9780393312840,Anthony Burgess,1962,A Clockwork Orange,A Clockwork Orange,eng,3.98,431195,454391,9958,14741,24244,84863,163488,167055,https://images.gr-assets.com/books/1348339306m/227463.jpg,https://images.gr-assets.com/books/1348339306s/227463.jpg,anthony burgess,a clockwork orange,"to-read, sci-fi, dystopian, classic, literature"
174,1812457,1812457,2666268,134,0964729237,9780964729230,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,The Shack,eng,3.74,419539,438292,29377,35734,42977,84751,111923,162907,https://images.gr-assets.com/books/1344270232m/1812457.jpg,https://images.gr-assets.com/books/1344270232s/1812457.jpg,william paul young,the shack,"to-read, currently-reading, fiction, favorites, christian"
175,4502507,4556058,4551489,87,0739380338,9780739380340,Rick Riordan,2009,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,499510,17693,2098,6501,45208,133168,312535,https://images.gr-assets.com/books/1327924597m/4502507.jpg,https://images.gr-assets.com/books/1327924597s/4502507.jpg,rick riordan,the last olympian percy jackson and the olympians 5,"favorites, fantasy, to-read, young-adult, currently-reading"
176,18342,830502,150259,7,0451169514,9780451169520,Stephen King,1986,It,It,en-US,4.18,292592,479381,11698,8464,19610,75841,148672,226794,https://images.gr-assets.com/books/1309376909m/18342.jpg,https://images.gr-assets.com/books/1309376909s/18342.jpg,stephen king,it,"to-read, currently-reading, horror, favorites, stephen-king"
177,7144,7144,3393917,1714,0143058142,9780143058140,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,Crime and Punishment,eng,4.18,380903,444675,12605,9477,20078,64050,137104,213966,https://images.gr-assets.com/books/1382846449m/7144.jpg,https://images.gr-assets.com/books/1382846449s/7144.jpg,fyodor dostoyevsky david mcduff,crime and punishment,"fiction, to-read, classic, russian, literature"
178,6514,6514,1385044,246,0061148512,9780061148510,Sylvia Plath,1963,The Bell Jar,The Bell Jar,en-US,3.98,401605,442157,15963,8266,23983,92408,162216,155284,https://images.gr-assets.com/books/1473890514m/6514.jpg,https://images.gr-assets.com/books/1473890514s/6514.jpg,sylvia plath,the bell jar,"to-read, currently-reading, favorites, classics, fiction"
179,252577,252577,2883783,184,0007205236,9780007205230,Frank McCourt,1996,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",eng,4.07,392103,419746,9798,7657,18327,73550,155775,164437,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,frank mccourt,angelas ashes frank mccourt 1,"to-read, non-fiction, currently-reading, favorites, memoir"
180,52036,52036,4840290,972,0553208845,9780553208850,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Siddhartha,eng,3.99,372099,418653,11518,10229,25529,83698,138837,160360,https://images.gr-assets.com/books/1428715580m/52036.jpg,https://images.gr-assets.com/books/1428715580s/52036.jpg,hermann hesse hilda rosner,siddhartha,"to-read, currently-reading, classics, fiction, favorites"
181,168642,168642,1940709,223,0679745580,9780679745590,Truman Capote,1965,In Cold Blood,In Cold Blood,eng,4.05,381652,401839,11754,10639,17836,70857,144616,157891,https://images.gr-assets.com/books/1424931136m/168642.jpg,https://images.gr-assets.com/books/1424931136s/168642.jpg,truman capote,in cold blood,"to-read, currently-reading, non-fiction, favorites, classics"
182,6304335,6304335,6488966,119,0316042676,9780316042670,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",eng,3.76,436093,458518,20808,19917,43525,113352,132492,149232,https://images.gr-assets.com/books/1327873282m/6304335.jpg,https://images.gr-assets.com/books/1327873282s/6304335.jpg,kami garcia margaret stohl,beautiful creatures caster chronicles 1,"to-read, currently-reading, young-adult, fantasy, favorites"
183,7171637,7171637,6674837,103,1416975861,9781416975860,Cassandra Clare,2010,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",eng,4.33,490890,515759,24385,8364,15544,61409,140928,289514,https://images.gr-assets.com/books/1454962884m/7171637.jpg,https://images.gr-assets.com/books/1454962884s/7171637.jpg,cassandra clare,clockwork angel the infernal devices 1,"favorites, fantasy, young-adult, books-i-own, ya"
184,39988,39988,1015554,242,0141301066,9780141301070,"Roald Dahl, Quentin Blake",1988,Matilda,Matilda,eng,4.29,440743,463491,11053,4277,10823,64536,152003,231852,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,roald dahl quentin blake,matilda,"to-read, young-adult, books-i-own, childrens-books, childhood-favorites"
185,9361589,9361589,14245059,119,0385534639,9780385534640,Erin Morgenstern,2011,The Night Circus,The Night Circus,eng,4.03,429543,474826,54008,11349,28650,84254,159596,190977,https://images.gr-assets.com/books/1387124618m/9361589.jpg,https://images.gr-assets.com/books/1387124618s/9361589.jpg,erin morgenstern,the night circus,"currently-reading, fantasy, favorites, fiction, to-read"
186,37470,37470,3248536,111,0743227441,9780743227440,Philippa Gregory,2001,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,4.04,381080,399223,15846,5311,16716,78620,153807,144769,https://images.gr-assets.com/books/1355932638m/37470.jpg,https://images.gr-assets.com/books/1355932638s/37470.jpg,philippa gregory,the other boleyn girl the plantagenet and tudor novels 9,"to-read, historical-fiction, currently-reading, favorites, fiction"
187,24770,24770,2895388,98,0689865384,9780689865380,Scott Westerfeld,2005,Uglies,"Uglies (Uglies, #1)",eng,3.86,449073,464589,21234,15531,34808,106086,151540,156624,https://images.gr-assets.com/books/1443904172m/24770.jpg,https://images.gr-assets.com/books/1443904172s/24770.jpg,scott westerfeld,uglies uglies 1,"to-read, currently-reading, young-adult, favorites, dystopian"
188,10664113,10664113,2936175,115,-,-,George R.R. Martin,2011,A Dance with Dragons,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng,4.31,365954,424618,20072,2399,10150,53744,147136,211189,https://images.gr-assets.com/books/1327885335m/10664113.jpg,https://images.gr-assets.com/books/1327885335s/10664113.jpg,george rr martin,a dance with dragons a song of ice and fire 5,"to-read, currently-reading, fantasy, favorites, fiction"
189,33,33,3462456,380,0618640150,9780618640160,J.R.R. Tolkien,1955,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054,436346,9365,4807,9577,37552,106818,277592,https://images.gr-assets.com/books/1411114164m/33.jpg,https://images.gr-assets.com/books/1411114164s/33.jpg,jrr tolkien,the lord of the rings the lord of the rings 13,"to-read, fantasy, currently-reading, favorites, classics"
190,12262741,12262741,17237712,101,0307592731,9780307592740,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,eng,3.96,379872,420903,34444,8344,22137,85489,165482,139451,https://images.gr-assets.com/books/1453189881m/12262741.jpg,https://images.gr-assets.com/books/1453189881s/12262741.jpg,cheryl strayed,wild from lost to found on the pacific crest trail,"currently-reading, non-fiction, memoir, favorites, book-club"
191,472331,472331,4358649,90,0930289234,9780930289230,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,Watchmen,en-US,4.35,398018,409323,10851,6349,11732,44847,116877,229518,https://images.gr-assets.com/books/1442239711m/472331.jpg,https://images.gr-assets.com/books/1442239711s/472331.jpg,alan moore dave gibbons john higgins,watchmen,"to-read, graphic-novels, favorites, currently-reading, graphic-novel"
